Location_Id,LOCATION,LAT,LON,Cross Street
219,500 S SAN PEDRO ST,34.0442,-118.2439,
220,1600 N GOWER ST,34.0998,-118.3223,
221,17100 COVELLO ST,34.2075,-118.5068,
222,600 S FIGUEROA ST,34.0509,-118.2585,
223,900 FIGUEROA TR,34.0663,-118.2441,
224,1100 BROAD AV,33.7849,-118.2612,
225,FRIES,33.7799,-118.265,ANAHEIM
226,14800 W VENTURA BL,34.154,-118.4674,
227,5300 CARLIN ST,34.0299,-118.3595,
228,LEGION LN,34.121,-118.2685,DOVER ST
229,100 N VISTA ST,34.0736,-118.3522,
230,5800 W SUNSET BL,34.0981,-118.3158,
231,FIRST ST,34.0726,-118.3279,LARCHMENT BL
232,10900 WILSHIRE BL,34.0588,-118.4439,
233,8400 MELROSE PL,34.0835,-118.3734,
234,500 S MAIN ST,34.0467,-118.2485,
235,16700 SHERMAN WY,34.2077,-118.4912,
236,300 COLUMBIA AV,34.0572,-118.2658,
237,400 W PICO BL,34.0389,-118.2643,
238,3600 11TH AV,34.0216,-118.3296,
239,1200 EXPOSITION BL,34.0184,-118.2952,
240,5600 WILSHIRE BL,34.0624,-118.3504,
241,1100 N VERMONT AV,34.0909,-118.2917,
242,700 N HAYWORTH AV,34.0838,-118.3627,
243,CENTRAL AV,34.0075,-118.2565,42ND ST
244,8500 BEVERLY BL,34.0761,-118.3772,
245,5600 FERNWOOD AV,34.0958,-118.311,
246,6900 LOS TILOS RD,34.1091,-118.3431,
247,1500 W 59TH ST,33.9876,-118.3024,
248,FLORENCE AV,33.9746,-118.2892,MENLO AV
249,3000 FOLSOM ST,34.0441,-118.1978,
250,400 E 83RD ST,33.9638,-118.2673,
251,900 BANNING BL,33.7817,-118.2574,
252,100 W 1ST ST,34.0522,-118.2434,
253,1800 PARK DR,34.0812,-118.252,
254,4700 WOODMAN AV,34.1603,-118.4399,
255,1600 BARRY AV,34.0432,-118.4541,
256,HAWTHORN AV,34.1004,-118.3433,SYCAMORE AV
257,600 W VERNON AV,34.0074,-118.285,
258,LINCOLN PARK AV,34.0787,-118.2028,POMONA ST
259,14400 HAMLIN ST,34.1887,-118.4465,
260,5900 CHULA VISTA WY,34.1074,-118.3193,
261,1700 S PACIFIC AV,33.7288,-118.288,
